Trade_Num,Date,SPY_Price,SPX_Price,SPY_Strike,SPX_Strike,SPY_Bid,SPY_Ask,SPX_Bid,SPX_Ask,Entry_Credit,Exit_Cost,Exit_Reason,Final_PnL,Cumulative_PnL,Peak,Drawdown
1,2025-01-02,604.31,6043.78,605,6050,1.83,1.85,5.68,5.98,1228.49,0.00,Held to expiration,1228.49,1228.49,1228.49,0.00
2,2025-01-03,608.72,6091.93,610,6100,1.84,1.86,5.70,6.00,1232.89,0.00,Held to expiration,1232.89,2461.38,2461.38,0.00
3,2025-01-06,612.80,6135.49,615,6150,1.85,1.87,5.72,6.02,1236.99,0.00,Held to expiration,1236.99,3698.37,3698.37,0.00
4,2025-01-07,614.63,6139.96,615,6150,1.85,1.87,5.73,6.03,1239.54,0.00,Held to expiration,1239.54,4937.91,4937.91,0.00
5,2025-01-08,615.80,6150.99,615,6150,2.65,2.67,6.72,7.02,1937.51,-696.73,Held to expiration,1240.78,6178.69,6178.69,0.00
6,2025-01-09,616.38,6156.44,615,6150,3.23,3.25,12.17,12.47,1978.30,-736.90,Held to expiration,1241.40,7420.10,7420.10,0.00
7,2025-01-10,617.35,6176.07,615,6150,4.21,4.23,31.81,32.11,988.59,253.35,Held to expiration,1241.94,8662.03,8662.03,0.00
8,2025-01-13,618.00,6173.99,620,6200,1.85,1.87,5.74,6.04,1243.01,0.00,Held to expiration,1243.01,9905.04,9905.04,0.00
9,2025-01-14,618.68,6190.56,620,6200,1.86,1.88,5.75,6.05,1243.25,0.00,Held to expiration,1243.25,11148.30,11148.30,0.00
10,2025-01-15,616.88,6164.02,615,6150,3.74,3.76,19.76,20.06,1723.36,-481.56,Held to expiration,1241.80,12390.10,12390.10,0.00
11,2025-01-16,617.53,6174.18,620,6200,1.85,1.87,5.74,6.04,1242.29,0.00,Held to expiration,1242.29,13632.38,13632.38,0.00
