contract,datetime,open,high,low,close,volume,average,barCount
spy_call,2026-01-26 09:30:00-05:00,0.15,0.23,0.11,0.22,7467.0,0.18,970
spy_call,2026-01-26 09:35:00-05:00,0.22,0.37,0.22,0.28,20668.0,0.311,2681
spy_call,2026-01-26 09:40:00-05:00,0.28,0.4,0.24,0.33,16281.0,0.34,2356
spy_call,2026-01-26 09:45:00-05:00,0.34,0.42,0.31,0.32,14800.0,0.372,2100
spy_call,2026-01-26 09:50:00-05:00,0.33,0.4,0.29,0.34,8690.0,0.349,1361
spy_call,2026-01-26 09:55:00-05:00,0.34,0.39,0.3,0.31,4616.0,0.346,982
spy_call,2026-01-26 10:00:00-05:00,0.31,0.32,0.25,0.28,7257.0,0.287,1239
spy_call,2026-01-26 10:05:00-05:00,0.27,0.3,0.22,0.22,4507.0,0.263,634
spy_call,2026-01-26 10:10:00-05:00,0.23,0.35,0.19,0.33,11681.0,0.266,1626
spy_call,2026-01-26 10:15:00-05:00,0.33,0.47,0.31,0.46,19785.0,0.387,2812
spy_call,2026-01-26 10:20:00-05:00,0.46,0.57,0.46,0.53,24466.0,0.518,3773
spy_call,2026-01-26 10:25:00-05:00,0.54,0.54,0.29,0.3,15157.0,0.387,2303
spy_call,2026-01-26 10:30:00-05:00,0.31,0.42,0.26,0.36,13499.0,0.345,1791
spy_call,2026-01-26 10:35:00-05:00,0.35,0.39,0.3,0.31,4884.0,0.346,844
spy_call,2026-01-26 10:40:00-05:00,0.31,0.32,0.22,0.23,6386.0,0.261,1121
spy_call,2026-01-26 10:45:00-05:00,0.23,0.4,0.23,0.36,19075.0,0.316,2023
spy_call,2026-01-26 10:50:00-05:00,0.37,0.47,0.35,0.4,18914.0,0.419,1919
spy_call,2026-01-26 10:55:00-05:00,0.41,0.46,0.31,0.33,6457.0,0.379,1094
spy_call,2026-01-26 11:00:00-05:00,0.33,0.36,0.27,0.3,4091.0,0.314,811
spy_call,2026-01-26 11:05:00-05:00,0.31,0.32,0.25,0.3,4400.0,0.283,696
spy_call,2026-01-26 11:10:00-05:00,0.29,0.3,0.25,0.26,2603.0,0.272,409
spy_call,2026-01-26 11:15:00-05:00,0.26,0.28,0.19,0.21,5799.0,0.231,758
spy_call,2026-01-26 11:20:00-05:00,0.21,0.32,0.17,0.3,10093.0,0.259,1229
spy_call,2026-01-26 11:25:00-05:00,0.3,0.38,0.28,0.34,10852.0,0.33,1190
spy_call,2026-01-26 11:30:00-05:00,0.34,0.4,0.29,0.29,10405.0,0.347,1332
spy_call,2026-01-26 11:35:00-05:00,0.29,0.35,0.26,0.29,5190.0,0.302,744
spy_call,2026-01-26 11:40:00-05:00,0.29,0.31,0.25,0.25,3124.0,0.277,502
spy_call,2026-01-26 11:45:00-05:00,0.25,0.3,0.22,0.26,3403.0,0.251,503
spy_call,2026-01-26 11:50:00-05:00,0.26,0.32,0.25,0.29,4759.0,0.295,552
spy_call,2026-01-26 11:55:00-05:00,0.29,0.32,0.25,0.29,3795.0,0.293,522
spy_call,2026-01-26 12:00:00-05:00,0.28,0.48,0.27,0.44,21733.0,0.384,2065
spy_call,2026-01-26 12:05:00-05:00,0.43,0.49,0.37,0.37,18612.0,0.44,2403
spy_call,2026-01-26 12:10:00-05:00,0.38,0.4,0.32,0.38,12671.0,0.357,1241
spy_call,2026-01-26 12:15:00-05:00,0.37,0.43,0.35,0.37,5180.0,0.39,772
spy_call,2026-01-26 12:20:00-05:00,0.37,0.43,0.36,0.38,5606.0,0.387,570
spy_call,2026-01-26 12:25:00-05:00,0.38,0.41,0.36,0.36,3549.0,0.382,484
spy_call,2026-01-26 12:30:00-05:00,0.36,0.38,0.28,0.31,10576.0,0.319,1125
spy_call,2026-01-26 12:35:00-05:00,0.31,0.35,0.29,0.32,4015.0,0.326,532
spy_call,2026-01-26 12:40:00-05:00,0.33,0.36,0.29,0.35,2721.0,0.324,419
spy_call,2026-01-26 12:45:00-05:00,0.36,0.36,0.24,0.26,8648.0,0.273,994
spy_call,2026-01-26 12:50:00-05:00,0.25,0.3,0.22,0.25,7509.0,0.257,836
spy_call,2026-01-26 12:55:00-05:00,0.25,0.27,0.21,0.23,3268.0,0.244,557
spy_call,2026-01-26 13:00:00-05:00,0.23,0.25,0.2,0.21,5749.0,0.224,550
spy_call,2026-01-26 13:05:00-05:00,0.22,0.22,0.16,0.16,7039.0,0.185,830
spy_call,2026-01-26 13:10:00-05:00,0.17,0.2,0.17,0.17,3843.0,0.182,455
spy_call,2026-01-26 13:15:00-05:00,0.17,0.3,0.15,0.29,10953.0,0.235,1125
spy_call,2026-01-26 13:20:00-05:00,0.28,0.39,0.27,0.38,13309.0,0.335,1399
spy_call,2026-01-26 13:25:00-05:00,0.37,0.45,0.3,0.42,12743.0,0.387,1509
spy_call,2026-01-26 13:30:00-05:00,0.42,0.6,0.4,0.53,25827.0,0.522,2866
spy_call,2026-01-26 13:35:00-05:00,0.52,0.55,0.33,0.34,9717.0,0.411,1249
spy_call,2026-01-26 13:40:00-05:00,0.34,0.36,0.28,0.3,4313.0,0.311,467
spy_put,2026-01-26 09:30:00-05:00,3.77,4.2,2.95,2.99,243.0,3.503,69
spy_put,2026-01-26 09:35:00-05:00,2.94,2.94,2.42,2.64,654.0,2.671,82
