symbol,strike,right,time,bid,ask,midpoint
SPY,661,C,2026-02-13 09:30:00-05:00,18.19,20.43,20.43
SPY,661,C,2026-02-13 09:31:00-05:00,20.25,20.83,20.83
SPY,661,C,2026-02-13 09:32:00-05:00,20.75,21.14,21.14
SPY,661,C,2026-02-13 09:33:00-05:00,20.3,20.89,20.89
SPY,661,C,2026-02-13 09:34:00-05:00,20.18,20.5,20.5
SPY,661,C,2026-02-13 09:35:00-05:00,19.48,19.9,19.9
SPY,661,C,2026-02-13 09:36:00-05:00,19.67,19.93,19.93
SPY,661,C,2026-02-13 09:37:00-05:00,19.08,19.76,19.76
SPY,661,C,2026-02-13 09:38:00-05:00,19.09,19.44,19.44
SPY,661,C,2026-02-13 09:39:00-05:00,18.87,19.33,19.33
SPY,661,C,2026-02-13 09:40:00-05:00,17.9,18.23,18.23
SPY,661,C,2026-02-13 09:41:00-05:00,17.28,17.8,17.8
SPY,661,C,2026-02-13 09:42:00-05:00,16.75,17.11,17.11
SPY,661,C,2026-02-13 09:43:00-05:00,16.05,17.34,17.34
SPY,661,C,2026-02-13 09:44:00-05:00,18.45,19.2,19.2
SPY,661,C,2026-02-13 09:45:00-05:00,19.51,20.26,20.26
SPY,661,C,2026-02-13 09:46:00-05:00,19.47,21.0,21.0
SPY,661,C,2026-02-13 09:47:00-05:00,19.6,21.04,21.04
SPY,661,C,2026-02-13 09:48:00-05:00,21.25,21.56,21.56
SPY,661,C,2026-02-13 09:49:00-05:00,20.39,20.97,20.97
SPY,661,C,2026-02-13 09:50:00-05:00,17.59,19.15,19.15
SPY,661,C,2026-02-13 09:51:00-05:00,19.07,19.43,19.43
SPY,661,C,2026-02-13 09:52:00-05:00,17.78,19.0,19.0
SPY,661,C,2026-02-13 09:53:00-05:00,18.1,18.69,18.69
SPY,661,C,2026-02-13 09:54:00-05:00,18.07,18.74,18.74
SPY,661,C,2026-02-13 09:55:00-05:00,18.34,19.47,19.47
SPY,661,C,2026-02-13 09:56:00-05:00,18.37,20.14,20.14
SPY,661,C,2026-02-13 09:57:00-05:00,18.73,19.08,19.08
