symbol,strike,right,time,open,high,low,close,volume
SPY,682,C,2026-01-29 09:47:00-05:00,11.42,11.42,11.42,11.42,2.0
SPY,682,C,2026-01-29 09:48:00-05:00,11.51,11.55,11.51,11.55,4.0
SPY,682,C,2026-01-29 09:49:00-05:00,11.97,11.97,11.97,11.97,2.0
SPY,682,C,2026-01-29 09:50:00-05:00,11.42,11.42,11.42,11.42,3.0
SPY,682,C,2026-01-29 09:51:00-05:00,11.42,11.42,11.42,11.42,0.0
SPY,682,C,2026-01-29 09:52:00-05:00,11.01,11.01,11.01,11.01,5.0
SPY,682,C,2026-01-29 09:53:00-05:00,10.65,10.65,10.65,10.65,2.0
SPY,682,C,2026-01-29 09:54:00-05:00,10.6,11.13,10.6,11.13,5.0
SPY,682,C,2026-01-29 09:55:00-05:00,11.13,11.13,11.13,11.13,0.0
SPY,682,C,2026-01-29 09:56:00-05:00,11.13,11.13,11.13,11.13,0.0
SPY,682,C,2026-01-29 09:57:00-05:00,11.13,11.13,11.13,11.13,0.0
SPY,682,C,2026-01-29 09:58:00-05:00,11.13,11.13,11.13,11.13,0.0
SPY,682,C,2026-01-29 09:59:00-05:00,10.06,10.06,10.06,10.06,15.0
SPY,682,C,2026-01-29 10:00:00-05:00,9.47,9.47,9.47,9.47,2.0
SPY,682,C,2026-01-29 10:01:00-05:00,9.47,9.47,9.47,9.47,0.0
SPY,682,C,2026-01-29 10:02:00-05:00,9.47,9.47,9.47,9.47,0.0
SPY,682,C,2026-01-29 10:03:00-05:00,9.47,9.47,9.47,9.47,0.0
SPY,682,C,2026-01-29 10:04:00-05:00,9.47,9.47,9.47,9.47,0.0
SPY,682,C,2026-01-29 10:05:00-05:00,8.65,8.98,8.65,8.98,9.0
SPY,682,C,2026-01-29 10:06:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:07:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:08:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:09:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:10:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:11:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:12:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:13:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:14:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:15:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:16:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:17:00-05:00,8.98,8.98,8.98,8.98,0.0
SPY,682,C,2026-01-29 10:18:00-05:00,8.04,8.04,8.04,8.04,1.0
SPY,682,C,2026-01-29 10:19:00-05:00,8.04,8.04,8.04,8.04,0.0
SPY,682,C,2026-01-29 10:20:00-05:00,8.04,8.04,8.04,8.04,0.0
SPY,682,C,2026-01-29 10:21:00-05:00,8.04,8.04,8.04,8.04,0.0
SPY,682,C,2026-01-29 10:22:00-05:00,8.04,8.04,8.04,8.04,0.0
SPY,682,C,2026-01-29 10:23:00-05:00,8.55,8.55,8.55,8.55,1.0
SPY,682,C,2026-01-29 10:24:00-05:00,8.55,8.55,8.55,8.55,0.0
SPY,682,C,2026-01-29 10:25:00-05:00,8.27,8.68,8.27,8.68,16.0
SPY,682,C,2026-01-29 10:26:00-05:00,8.68,8.68,8.68,8.68,0.0
SPY,682,C,2026-01-29 10:27:00-05:00,8.68,8.68,8.68,8.68,0.0
SPY,682,C,2026-01-29 10:28:00-05:00,7.5,7.5,7.5,7.5,1.0
SPY,682,C,2026-01-29 10:29:00-05:00,7.49,7.49,7.49,7.49,6.0
SPY,682,C,2026-01-29 10:30:00-05:00,7.03,7.32,7.03,7.32,6.0
SPY,682,C,2026-01-29 10:31:00-05:00,7.32,7.32,7.32,7.32,0.0
SPY,682,C,2026-01-29 10:32:00-05:00,7.32,7.32,7.32,7.32,0.0
SPY,682,C,2026-01-29 10:33:00-05:00,6.45,6.45,6.45,6.45,1.0
SPY,682,C,2026-01-29 10:34:00-05:00,6.45,6.45,6.45,6.45,0.0
SPY,682,C,2026-01-29 10:35:00-05:00,6.48,6.48,6.27,6.27,42.0
SPY,682,C,2026-01-29 10:36:00-05:00,6.08,6.08,6.08,6.08,1.0
SPY,682,C,2026-01-29 10:37:00-05:00,6.08,6.08,6.08,6.08,0.0
SPY,682,C,2026-01-29 10:38:00-05:00,5.9,5.9,5.9,5.9,1.0
SPY,682,C,2026-01-29 10:39:00-05:00,5.9,5.9,5.9,5.9,0.0
SPY,682,C,2026-01-29 10:40:00-05:00,5.64,5.64,5.64,5.64,1.0
SPY,682,C,2026-01-29 10:41:00-05:00,6.0,6.0,6.0,6.0,1.0
SPY,682,C,2026-01-29 10:42:00-05:00,6.0,6.0,6.0,6.0,0.0
SPY,682,C,2026-01-29 10:43:00-05:00,5.37,5.37,5.37,5.37,1.0
SPY,682,C,2026-01-29 10:44:00-05:00,5.25,5.25,5.25,5.25,1.0
SPY,682,C,2026-01-29 10:45:00-05:00,5.32,5.32,5.32,5.32,1.0
SPY,682,C,2026-01-29 10:46:00-05:00,5.28,5.5,5.28,5.5,28.0
SPY,682,C,2026-01-29 10:47:00-05:00,5.5,5.5,5.5,5.5,0.0
SPY,682,C,2026-01-29 10:48:00-05:00,5.72,5.77,5.52,5.6,9.0
SPY,682,C,2026-01-29 10:49:00-05:00,5.2,5.2,5.2,5.2,2.0
SPY,682,C,2026-01-29 10:50:00-05:00,4.92,4.92,4.92,4.92,26.0
SPY,682,C,2026-01-29 10:51:00-05:00,4.75,4.75,4.65,4.65,102.0
SPY,682,C,2026-01-29 10:52:00-05:00,4.6,4.6,4.6,4.6,2.0
SPY,682,C,2026-01-29 10:53:00-05:00,4.54,4.56,4.5,4.5,30.0
SPY,682,C,2026-01-29 10:54:00-05:00,4.35,4.35,4.35,4.35,10.0
SPY,682,C,2026-01-29 10:55:00-05:00,4.39,4.49,4.38,4.49,30.0
SPY,682,C,2026-01-29 10:56:00-05:00,4.99,5.33,4.99,5.33,7.0
SPY,682,C,2026-01-29 10:57:00-05:00,5.25,5.45,5.25,5.41,138.0
SPY,682,C,2026-01-29 10:58:00-05:00,5.09,5.17,5.01,5.12,50.0
SPY,682,C,2026-01-29 10:59:00-05:00,4.95,4.95,4.95,4.95,5.0
SPY,682,C,2026-01-29 11:00:00-05:00,4.94,4.94,4.59,4.82,55.0
SPY,682,C,2026-01-29 11:01:00-05:00,4.82,4.82,4.82,4.82,0.0
SPY,682,C,2026-01-29 11:02:00-05:00,4.36,4.36,4.36,4.36,4.0
SPY,682,C,2026-01-29 11:03:00-05:00,4.56,4.56,4.47,4.47,29.0
SPY,682,C,2026-01-29 11:04:00-05:00,4.75,4.75,4.4,4.4,6.0
SPY,682,C,2026-01-29 11:05:00-05:00,4.42,4.53,4.4,4.49,32.0
SPY,682,C,2026-01-29 11:06:00-05:00,4.19,4.23,4.19,4.23,5.0
SPY,682,C,2026-01-29 11:07:00-05:00,4.1,4.1,3.99,4.0,24.0
SPY,682,C,2026-01-29 11:08:00-05:00,4.17,4.48,4.17,4.42,7.0
SPY,682,C,2026-01-29 11:09:00-05:00,4.34,4.56,4.28,4.56,70.0
SPY,682,C,2026-01-29 11:10:00-05:00,4.37,4.69,4.31,4.69,84.0
SPY,682,C,2026-01-29 11:11:00-05:00,5.0,5.25,5.0,5.24,71.0
SPY,682,C,2026-01-29 11:12:00-05:00,5.47,5.48,5.3,5.3,4.0
SPY,682,C,2026-01-29 11:13:00-05:00,5.39,5.65,5.39,5.6,15.0
SPY,682,C,2026-01-29 11:14:00-05:00,6.02,6.02,5.9,5.94,5.0
SPY,682,C,2026-01-29 11:15:00-05:00,6.04,6.12,6.04,6.07,4.0
SPY,682,C,2026-01-29 11:16:00-05:00,5.99,6.22,5.99,6.22,12.0
SPY,682,C,2026-01-29 11:17:00-05:00,5.94,5.94,5.94,5.94,3.0
SPY,682,C,2026-01-29 11:18:00-05:00,6.06,6.06,5.9,5.9,6.0
SPY,682,C,2026-01-29 11:19:00-05:00,6.21,6.33,6.15,6.33,13.0
SPY,682,C,2026-01-29 11:20:00-05:00,6.65,6.82,6.6,6.6,26.0
SPY,682,C,2026-01-29 11:21:00-05:00,6.62,6.62,6.62,6.62,1.0
SPY,682,C,2026-01-29 11:22:00-05:00,6.75,6.75,5.97,5.97,4.0
SPY,682,C,2026-01-29 11:23:00-05:00,5.97,5.97,5.97,5.97,0.0
SPY,682,C,2026-01-29 11:24:00-05:00,5.97,5.97,5.97,5.97,0.0
SPY,682,C,2026-01-29 11:25:00-05:00,5.97,5.97,5.97,5.97,0.0
SPY,682,C,2026-01-29 11:26:00-05:00,5.97,5.97,5.97,5.97,0.0
SPY,682,C,2026-01-29 11:27:00-05:00,5.97,5.97,5.97,5.97,0.0
SPY,682,C,2026-01-29 11:28:00-05:00,5.8,5.8,5.8,5.8,5.0
SPY,682,C,2026-01-29 11:29:00-05:00,6.02,6.41,6.02,6.41,32.0
SPY,682,C,2026-01-29 11:30:00-05:00,6.36,6.57,6.36,6.57,42.0
SPY,682,C,2026-01-29 11:31:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:32:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:33:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:34:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:35:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:36:00-05:00,6.57,6.57,6.57,6.57,0.0
SPY,682,C,2026-01-29 11:37:00-05:00,6.56,6.56,6.56,6.56,1.0
SPY,682,C,2026-01-29 11:38:00-05:00,6.56,6.56,6.56,6.56,0.0
SPY,682,C,2026-01-29 11:39:00-05:00,6.56,6.56,6.56,6.56,0.0
SPY,682,C,2026-01-29 11:40:00-05:00,6.44,6.97,6.44,6.97,28.0
SPY,682,C,2026-01-29 11:41:00-05:00,6.97,6.97,6.97,6.97,0.0
SPY,682,C,2026-01-29 11:42:00-05:00,6.94,6.94,6.94,6.94,1.0
SPY,682,C,2026-01-29 11:43:00-05:00,7.12,7.12,6.85,6.85,21.0
SPY,682,C,2026-01-29 11:44:00-05:00,6.85,6.85,6.85,6.85,0.0
SPY,682,C,2026-01-29 11:45:00-05:00,6.76,6.76,6.76,6.76,24.0
SPY,682,C,2026-01-29 11:46:00-05:00,6.76,6.76,6.76,6.76,0.0
SPY,682,C,2026-01-29 11:47:00-05:00,6.9,6.9,6.9,6.9,20.0
SPY,682,C,2026-01-29 11:48:00-05:00,6.9,6.9,6.9,6.9,0.0
SPY,682,C,2026-01-29 11:49:00-05:00,6.85,6.85,6.85,6.85,1.0
SPY,682,C,2026-01-29 11:50:00-05:00,6.85,6.85,6.85,6.85,0.0
SPY,682,C,2026-01-29 11:51:00-05:00,6.85,6.85,6.85,6.85,0.0
SPY,682,C,2026-01-29 11:52:00-05:00,6.85,6.85,6.85,6.85,0.0
SPY,682,C,2026-01-29 11:53:00-05:00,6.85,6.85,6.85,6.85,0.0
SPY,682,C,2026-01-29 11:54:00-05:00,6.74,6.74,6.74,6.74,50.0
SPY,682,C,2026-01-29 11:55:00-05:00,6.8,6.86,6.8,6.86,50.0
SPY,682,C,2026-01-29 11:56:00-05:00,6.86,6.86,6.86,6.86,0.0
SPY,682,C,2026-01-29 11:57:00-05:00,6.71,6.71,6.62,6.62,4.0
SPY,682,C,2026-01-29 11:58:00-05:00,6.62,6.62,6.62,6.62,0.0
SPY,682,C,2026-01-29 11:59:00-05:00,6.62,6.62,6.62,6.62,0.0
SPY,682,C,2026-01-29 12:00:00-05:00,6.98,7.03,6.98,7.03,4.0
SPY,682,C,2026-01-29 12:01:00-05:00,7.41,7.41,7.31,7.31,3.0
SPY,682,C,2026-01-29 12:02:00-05:00,7.38,7.68,7.38,7.68,3.0
SPY,682,C,2026-01-29 12:03:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:04:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:05:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:06:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:07:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:08:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:09:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:10:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:11:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:12:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:13:00-05:00,7.68,7.68,7.68,7.68,0.0
SPY,682,C,2026-01-29 12:14:00-05:00,8.8,8.8,8.8,8.8,7.0
SPY,682,C,2026-01-29 12:15:00-05:00,8.8,8.8,8.8,8.8,0.0
SPY,682,C,2026-01-29 12:16:00-05:00,8.8,8.8,8.8,8.8,0.0
SPY,682,C,2026-01-29 12:17:00-05:00,8.53,8.53,8.49,8.49,3.0
SPY,682,C,2026-01-29 12:18:00-05:00,8.49,8.49,8.49,8.49,0.0
SPY,682,C,2026-01-29 12:19:00-05:00,8.49,8.49,8.49,8.49,0.0
SPY,682,C,2026-01-29 12:20:00-05:00,8.89,8.95,8.89,8.95,2.0
SPY,682,C,2026-01-29 12:21:00-05:00,8.95,8.95,8.95,8.95,0.0
SPY,682,C,2026-01-29 12:22:00-05:00,8.95,8.95,8.95,8.95,0.0
SPY,682,C,2026-01-29 12:23:00-05:00,8.88,8.88,8.88,8.88,1.0
SPY,682,C,2026-01-29 12:24:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:25:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:26:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:27:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:28:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:29:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:30:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:31:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:32:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:33:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:34:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:35:00-05:00,8.88,8.88,8.88,8.88,0.0
SPY,682,C,2026-01-29 12:36:00-05:00,8.88,8.88,8.88,8.88,0.0
