symbol,time,open,high,low,close,volume
SPY,2026-01-02 09:30:00-05:00,685.7,686.15,685.39,686.02,917260.0
SPY,2026-01-02 09:31:00-05:00,686.02,686.05,685.35,685.35,403893.0
SPY,2026-01-02 09:32:00-05:00,685.34,685.43,684.8,684.81,405303.0
SPY,2026-01-02 09:33:00-05:00,684.81,684.88,684.49,684.53,349267.0
SPY,2026-01-02 09:34:00-05:00,684.53,684.92,684.52,684.77,303003.0
SPY,2026-01-02 09:35:00-05:00,684.78,684.85,684.27,684.33,463639.0
SPY,2026-01-02 09:36:00-05:00,684.33,685.14,684.28,685.13,229285.0
SPY,2026-01-02 09:37:00-05:00,685.15,685.2,684.74,685.12,353235.0
SPY,2026-01-02 09:38:00-05:00,685.14,685.23,684.84,684.91,318326.0
SPY,2026-01-02 09:39:00-05:00,684.91,684.94,684.48,684.5,208760.0
SPY,2026-01-02 09:40:00-05:00,684.49,684.57,684.16,684.21,282431.0
SPY,2026-01-02 09:41:00-05:00,684.21,684.56,684.12,684.48,267107.0
SPY,2026-01-02 09:42:00-05:00,684.49,684.54,684.27,684.53,256045.0
SPY,2026-01-02 09:43:00-05:00,684.52,684.98,684.46,684.8,245498.0
SPY,2026-01-02 09:44:00-05:00,684.79,685.04,684.73,684.93,147129.0
SPY,2026-01-02 09:45:00-05:00,684.96,685.28,684.91,684.99,271005.0
SPY,2026-01-02 09:46:00-05:00,684.99,685.15,684.76,684.87,262807.0
SPY,2026-01-02 09:47:00-05:00,684.87,686.0,684.85,685.99,479972.0
SPY,2026-01-02 09:48:00-05:00,685.99,686.38,685.95,686.15,377831.0
SPY,2026-01-02 09:49:00-05:00,686.17,686.29,685.85,686.03,358628.0
SPY,2026-01-02 09:50:00-05:00,686.03,686.84,686.02,686.71,436377.0
SPY,2026-01-02 09:51:00-05:00,686.73,686.78,686.33,686.46,237080.0
SPY,2026-01-02 09:52:00-05:00,686.46,686.5,686.19,686.19,216163.0
SPY,2026-01-02 09:53:00-05:00,686.2,686.28,685.92,686.17,214656.0
SPY,2026-01-02 09:54:00-05:00,686.18,686.46,686.07,686.2,161904.0
SPY,2026-01-02 09:55:00-05:00,686.21,686.32,686.08,686.14,200905.0
SPY,2026-01-02 09:56:00-05:00,686.12,686.47,686.07,686.43,208267.0
SPY,2026-01-02 09:57:00-05:00,686.42,686.45,686.02,686.15,193066.0
SPY,2026-01-02 09:58:00-05:00,686.17,686.32,685.96,686.25,138656.0
SPY,2026-01-02 09:59:00-05:00,686.26,686.38,686.11,686.19,78202.0
SPY,2026-01-02 10:00:00-05:00,686.21,686.69,686.19,686.61,259963.0
SPY,2026-01-02 10:01:00-05:00,686.61,686.87,686.58,686.66,307698.0
SPY,2026-01-02 10:02:00-05:00,686.66,686.8,686.33,686.7,244873.0
SPY,2026-01-02 10:03:00-05:00,686.7,686.79,686.58,686.61,199137.0
SPY,2026-01-02 10:04:00-05:00,686.6,686.63,686.29,686.43,206570.0
SPY,2026-01-02 10:05:00-05:00,686.43,686.44,686.17,686.36,128410.0
SPY,2026-01-02 10:06:00-05:00,686.35,686.48,686.1,686.46,180870.0
SPY,2026-01-02 10:07:00-05:00,686.48,686.48,685.95,685.96,153728.0
SPY,2026-01-02 10:08:00-05:00,685.99,686.01,685.81,685.95,220325.0
SPY,2026-01-02 10:09:00-05:00,685.96,685.96,685.7,685.79,223575.0
SPY,2026-01-02 10:10:00-05:00,685.76,685.97,685.56,685.64,245049.0
SPY,2026-01-02 10:11:00-05:00,685.63,685.72,685.11,685.18,381073.0
SPY,2026-01-02 10:12:00-05:00,685.18,685.32,684.66,684.72,345944.0
SPY,2026-01-02 10:13:00-05:00,684.71,684.78,684.5,684.55,380610.0
SPY,2026-01-02 10:14:00-05:00,684.56,684.6,684.12,684.35,357233.0
SPY,2026-01-02 10:15:00-05:00,684.34,684.34,683.91,683.98,405910.0
SPY,2026-01-02 10:16:00-05:00,683.97,684.3,683.74,684.21,351579.0
SPY,2026-01-02 10:17:00-05:00,684.21,684.42,683.55,683.66,332616.0
SPY,2026-01-02 10:18:00-05:00,683.66,683.83,683.48,683.65,251894.0
SPY,2026-01-02 10:19:00-05:00,683.67,683.85,683.45,683.85,226211.0
SPY,2026-01-02 10:20:00-05:00,683.86,683.88,683.07,683.18,320929.0
SPY,2026-01-02 10:21:00-05:00,683.17,683.18,682.83,682.88,233760.0
SPY,2026-01-02 10:22:00-05:00,682.88,682.89,682.18,682.2,438624.0
SPY,2026-01-02 10:23:00-05:00,682.2,682.62,682.02,682.17,405041.0
SPY,2026-01-02 10:24:00-05:00,682.16,682.32,682.0,682.13,221534.0
SPY,2026-01-02 10:25:00-05:00,682.12,682.23,681.58,681.87,597550.0
SPY,2026-01-02 10:26:00-05:00,681.87,682.4,681.79,682.38,438814.0
SPY,2026-01-02 10:27:00-05:00,682.36,682.5,681.88,682.01,443843.0
SPY,2026-01-02 10:28:00-05:00,682.03,682.2,681.85,682.02,305773.0
SPY,2026-01-02 10:29:00-05:00,682.01,682.61,681.95,682.45,357574.0
